Time(ms),Raw_ADC,ENV_Value,RMS,MDF,MW_Amp,MW_Area,MW_Latency,Marker
0,1860.2,16.6,0.0,0.0,0.0,0.0,0.0,
100,1863.8,14.5,0.0,0.0,0.0,0.0,0.0,
200,1861.7,16.4,0.0,0.0,0.0,0.0,0.0,
300,1862.9,19.7,0.0,0.0,0.0,0.0,0.0,
400,1860.1,18.1,0.0,0.0,0.0,0.0,0.0,
500,1860.7,26.8,0.0,175.8,0.0,0.0,0.0,
600,1869.2,91.1,0.0,146.5,0.0,0.0,0.0,
700,1849.4,77.9,0.0,99.6,0.0,0.0,0.0,
800,1854.7,70.4,0.0,97.7,0.0,0.0,0.0,
900,1864.2,58.1,73.7,128.9,0.0,0.0,0.0,
1000,1865.1,80.0,82.1,136.7,0.0,0.0,0.0,
1100,1853.2,76.7,91.2,160.2,0.0,0.0,0.0,
1200,1866.4,20.5,97.1,140.6,0.0,0.0,0.0,
1300,1863.3,20.7,97.0,160.2,0.0,0.0,0.0,
1400,1859.1,16.8,97.0,160.2,0.0,0.0,0.0,
1500,1856.5,19.3,97.0,164.1,0.0,0.0,0.0,
1600,1858.4,23.6,94.9,189.5,0.0,0.0,0.0,
1700,1863.3,20.6,85.4,160.2,0.0,0.0,0.0,
1900,1862.7,19.6,67.6,119.1,0.0,0.0,0.0,
2000,1861.5,21.3,57.1,127.0,0.0,0.0,0.0,
2100,1864.9,14.9,41.3,150.4,0.0,0.0,0.0,
2200,1859.7,60.5,30.6,148.4,0.0,0.0,0.0,
2300,1857.5,72.5,52.6,140.6,0.0,0.0,0.0,
2400,1855.1,73.8,63.6,156.3,0.0,0.0,0.0,
2500,1874.2,69.1,71.1,160.2,0.0,0.0,0.0,
2600,1848.7,65.6,81.4,162.1,0.0,0.0,0.0,
2700,1867.8,93.3,91.0,162.1,0.0,0.0,0.0,
2900,1861.8,18.7,98.3,158.2,0.0,0.0,0.0,
3000,1865.3,17.7,98.3,160.2,0.0,0.0,0.0,
3100,1862.8,21.2,98.3,164.1,0.0,0.0,0.0,
3200,1863.4,18.3,96.7,175.8,0.0,0.0,0.0,
3300,1861.2,19.6,86.8,179.7,0.0,0.0,0.0,
3400,1863.3,21.6,79.1,158.2,0.0,0.0,0.0,
3500,1860.1,23.3,72.6,156.3,0.0,0.0,0.0,
3600,1858.8,19.0,61.0,179.7,0.0,0.0,0.0,
3700,1861.1,19.1,45.2,197.3,0.0,0.0,0.0,
3900,1853.0,65.3,52.7,158.2,0.0,0.0,0.0,
4000,1871.8,102.8,65.6,134.8,0.0,0.0,0.0,
4100,1867.3,104.3,77.8,128.9,0.0,0.0,0.0,
4200,1858.4,81.6,88.3,99.6,0.0,0.0,0.0,
4300,1848.7,70.7,100.2,97.7,0.0,0.0,0.0,
4400,1881.7,25.2,108.8,97.7,0.0,0.0,0.0,
4500,1858.4,23.4,109.1,128.9,0.0,0.0,0.0,
4600,1864.5,21.0,109.1,128.9,0.0,0.0,0.0,
4700,1863.9,23.5,109.1,128.9,0.0,0.0,0.0,
4900,1863.8,18.3,99.1,121.1,0.0,0.0,0.0,
5000,1860.4,21.6,91.1,150.4,0.0,0.0,0.0,
5100,1861.2,21.1,81.1,158.2,0.0,0.0,0.0,
5200,1859.8,20.6,69.5,166.0,0.0,0.0,0.0,
5300,1866.9,23.8,50.9,187.5,0.0,0.0,0.0,
5400,1860.8,81.8,28.6,179.7,0.0,0.0,0.0,
