Time(ms),Raw_ADC
0,1855
1,1854
2,1859
3,1858
4,1869
5,1869
6,1868
7,1860
8,1861
9,1859
10,1856
11,1856
12,1850
13,1851
14,1849
15,1851
16,1856
17,1857
18,1865
19,1863
20,1863
21,1867
22,1869
23,1861
24,1858
25,1856
26,1854
27,1856
28,1856
29,1854
30,1853
31,1853
32,1857
33,1859
34,1861
35,1867
36,1867
37,1870
38,1870
39,1869
40,1867
41,1867
42,1863
43,1857
44,1856
45,1856
46,1854
47,1853
48,1855
49,1861
50,1861
51,1867
52,1870
53,1858
54,1866
55,1861
56,1860
57,1865
58,1863
59,1860
60,1856
61,1855
62,1855
63,1855
64,1856
65,1854
66,1854
67,1854
68,1861
69,1858
70,1859
71,1865
72,1865
73,1860
74,1859
75,1857
76,1856
77,1855
78,1851
79,1846
80,1850
81,1851
82,1853
83,1843
84,1843
85,1850
86,1854
87,1856
88,1856
89,1857
90,1854
91,1856
92,1851
93,1845
94,1843
95,1846
96,1845
97,1845
98,1847
99,1851
100,1851
101,1851
102,1861
103,1858
104,1862
105,1857
106,1857
107,1854
108,1853
109,1851
110,1846
111,1844
112,1844
113,1840
114,1841
115,1846
116,1846
117,1853
118,1861
119,1863
120,1863
121,1871
122,1871
123,1870
124,1863
125,1863
126,1862
127,1857
128,1861
129,1857
130,1857
131,1856
132,1861
133,1861
134,1864
135,1869
136,1869
137,1867
138,1865
139,1867
140,1865
141,1863
142,1858
143,1845
144,1843
145,1841
146,1840
147,1841
148,1851
149,1855
150,1856
151,1858
152,1861
153,1862
154,1862
155,1858
156,1861
157,1855
158,1854
159,1851
160,1847
161,1843
162,1844
163,1844
164,1843
165,1849
166,1850
167,1853
168,1857
169,1859
170,1856
171,1864
172,1861
173,1855
174,1851
175,1852
176,1849
177,1849
178,1852
179,1847
180,1850
181,1849
182,1856
183,1854
184,1857
185,1863
186,1867
187,1865
188,1863
189,1869
190,1865
191,1863
192,1862
193,1858
194,1859
195,1859
196,1857
197,1856
198,1859
199,1861
200,1861
201,1862
202,1858
203,1853
204,1856
205,1856
206,1859
207,1858
208,1861
209,1861
210,1857
211,1856
212,1853
213,1856
214,1854
215,1856
216,1856
217,1859
218,1866
219,1867
220,1867
221,1871
222,1869
223,1866
224,1862
225,1861
226,1859
227,1856
228,1856
229,1854
230,1856
231,1856
232,1857
233,1850
234,1854
235,1856
236,1857
237,1847
238,1866
239,1865
240,1867
241,1866
242,1865
243,1856
244,1854
245,1854
246,1853
247,1853
248,1854
249,1859
250,1863
251,1866
252,1868
253,1871
254,1871
255,1869
256,1865
257,1861
258,1859
259,1861
260,1856
261,1855
262,1854
263,1846
264,1846
265,1850
266,1847
267,1852
268,1863
269,1867
270,1867
271,1869
272,1869
273,1867
274,1865
275,1865
276,1860
277,1856
278,1856
279,1849
280,1854
281,1857
282,1856
283,1855
284,1858
285,1862
286,1864
287,1866
288,1863
289,1867
290,1865
291,1865
292,1866
293,1854
294,1851
295,1851
296,1845
297,1847
298,1853
299,1855
300,1857
301,1858
302,1863
303,1867
304,1867
305,1865
306,1867
307,1865
308,1865
309,1866
310,1859
311,1856
312,1856
313,1856
314,1855
315,1861
316,1861
317,1859
318,1863
319,1862
320,1864
321,1869
322,1863
323,1856
324,1854
325,1855
326,1855
327,1853
328,1856
329,1856
330,1856
331,1855
332,1858
333,1857
334,1856
335,1861
336,1863
337,1865
338,1866
339,1868
340,1859
341,1859
342,1858
343,1856
344,1854
345,1855
