Time(ms),Raw_ADC
0,1296
1,1433
2,1535
3,1618
4,1685
5,1767
6,1808
7,1828
8,1855
9,1872
10,1887
11,1890
12,1889
13,1889
14,1893
15,1898
16,1901
17,1901
18,1898
19,1894
20,1890
21,2322
22,2074
23,1843
24,2062
25,2078
26,2277
27,2606
28,2125
29,1707
30,1403
31,1296
32,1408
33,1535
34,1627
35,1691
36,1764
37,1802
38,1817
39,1840
40,1864
41,1879
42,1885
43,1883
44,1895
45,1898
46,1899
47,1903
48,1903
49,1890
50,1877
51,1883
52,1458
53,2193
54,1872
55,2047
56,2117
57,2147
58,2559
59,2227
60,1809
61,1472
62,1292
63,1360
64,1491
65,1584
66,1657
67,1744
68,1792
69,1817
70,1844
71,1862
72,1885
73,1898
74,1903
75,1904
76,1904
77,1899
78,1894
79,1885
80,1881
81,1884
82,1883
83,1105
84,2332
85,1882
86,1995
87,2160
88,2125
89,2559
90,2359
91,1888
92,1502
93,1274
94,1328
95,1467
96,1563
97,1630
98,1714
99,1778
100,1810
101,1827
102,1859
103,1883
104,1902
105,1908
106,1908
107,1902
108,1903
109,1899
110,1891
111,1887
112,1882
113,1877
114,1877
115,2454
116,1935
117,1915
118,2142
119,2119
120,2516
121,2455
122,1942
123,1569
124,1319
125,1309
126,1449
127,1535
128,1618
129,1697
130,1766
131,1801
132,1823
133,1846
134,1872
135,1887
136,1893
137,1899
138,1909
139,1915
140,1931
141,1927
142,1904
143,1884
144,1877
145,1869
146,1855
147,1841
148,1856
149,1859
150,1869
151,1867
152,1868
153,1870
154,1872
155,1869
156,1871
157,1867
158,1863
159,1861
160,1859
161,1856
162,1856
163,1856
164,1853
165,1858
166,1856
167,1858
168,1862
169,1860
170,1862
171,1853
172,1856
173,1855
174,1856
175,1853
176,1849
177,1847
178,1847
179,1853
180,1853
181,1855
182,1857
183,1856
184,1857
185,1859
186,1865
187,1859
188,1859
189,1859
190,1865
191,1862
192,1862
193,1856
194,1856
195,1856
196,1854
197,1856
198,1856
199,1856
200,1860
201,1860
202,1857
203,1859
204,1858
205,1861
206,1861
207,1859
208,1856
209,1853
210,1860
211,1857
212,1856
213,1856
214,1856
215,1860
216,1861
217,1866
218,1866
219,1865
220,1867
221,1867
222,1868
223,1867
224,1867
225,1867
226,1864
227,1858
228,1856
229,1856
230,1858
231,1859
232,1858
233,1856
234,1861
235,1859
236,1865
237,1865
238,1872
239,1870
240,1865
241,1865
242,1863
243,1862
244,1858
245,1860
246,1858
247,1862
248,1861
249,1861
250,1863
251,1863
252,1869
253,1871
254,1872
255,1872
256,1869
257,1869
258,1871
259,1870
260,1867
261,1861
262,1860
263,1856
264,1858
265,1860
266,1862
267,1861
268,1866
269,1869
270,1867
271,1869
272,1869
273,1866
274,1863
275,1861
276,1862
277,1861
278,1859
279,1859
280,1857
281,1866
282,1862
283,1864
284,1863
285,1866
286,1862
287,1861
288,1861
289,1859
290,1860
291,1858
292,1857
293,1854
294,1853
295,1851
296,1846
297,1850
298,1847
299,1856
300,1859
301,1856
302,1866
303,1867
304,1870
305,1866
306,1861
307,1860
308,1861
309,1858
310,1859
311,1857
312,1856
313,1856
314,1856
315,1857
316,1856
317,1861
318,1863
319,1867
320,1864
321,1870
322,1868
323,1858
324,1858
325,1858
326,1851
327,1852
328,1847
329,1851
330,1856
331,1858
332,1859
333,1859
334,1861
335,1863
336,1867
337,1863
338,1869
339,1867
340,1863
341,1861
342,1859
343,1856
344,1857
345,1856
346,1855
347,1856
348,1856
349,1856
350,1861
