Time_ms,Stim_Index,Sample_Index,Drift_ms,Spike,P2P,Area,R,Valid,Sat_Win,Sat_Spike,MCU_State,Level,Marker,Samples
3178,1,3177,1.0,1058,387,1787,1.6890,1,0,0,RUNNING,0,,-154;-136;-115;-90;9;104;172;231;233;200;136;56;-35;-116
4581,2,4580,1.0,1026,283,1060,1.0331,1,0,0,RUNNING,0,,-76;-71;-55;-50;-44;-39;-32;-28;83;207;179;121;42;-33
4737,3,4736,1.0,944,253,902,0.9555,1,0,0,RUNNING,0,,-58;-50;-45;-41;-35;-25;-21;-16;153;180;124;40;-41;-73
6140,4,6139,1.0,819,136,407,0.4969,1,0,0,RUNNING,0,,-48;-41;-33;-24;-22;-21;-20;-16;-16;-12;9;88;57;0
6296,5,6295,1.0,786,105,406,0.5165,1,0,0,RUNNING,0,,-49;-41;-34;-34;-28;-23;-21;-17;-13;-9;54;56;6;-21
6483,6,6482,1.0,631,174,554,0.8780,1,0,0,RUNNING,0,,-50;-41;-34;-26;-23;-22;-17;-13;-14;75;124;56;-19;-40
6639,7,6638,1.0,830,180,595,0.7169,1,0,0,RUNNING,0,,-49;-41;-35;-28;-25;-23;-20;-16;-6;131;110;33;-33;-45
7699,8,7698,1.0,879,258,835,0.9499,1,0,0,RUNNING,0,,-43;-38;-33;-23;-23;-21;-16;-16;-10;-13;160;215;151;73
7855,9,7854,1.0,553,143,458,0.8282,1,0,0,RUNNING,0,,-43;-38;-30;-32;-26;-23;-18;-17;-10;27;100;51;-12;-31
8011,10,8010,1.0,554,168,513,0.9260,1,0,0,RUNNING,0,,-52;-46;-36;-25;-23;-23;-20;-16;-11;41;116;57;-13;-34
8042,11,8041,1.0,734,182,569,0.7752,1,0,0,RUNNING,0,,-50;-42;-37;-28;-23;-22;-20;-14;-12;62;132;68;-18;-41
8167,12,8166,1.0,435,254,765,1.7586,1,0,0,RUNNING,0,,-46;-40;-34;-24;-23;-20;-18;-16;58;194;140;41;-51;-60
8198,13,8197,1.0,837,302,909,1.0860,1,0,0,RUNNING,0,,-45;-40;-36;-29;-23;-23;-18;-17;94;220;169;73;-40;-82
9383,14,9382,1.0,462,192,650,1.4069,1,0,0,RUNNING,0,,-55;-45;-40;-33;-28;-26;-23;-20;-19;61;137;102;38;-23
9414,15,9413,1.0,835,147,508,0.6084,1,0,0,RUNNING,0,,-53;-48;-40;-32;-29;-26;-23;-20;-16;-12;63;94;50;-2
9570,16,9569,1.0,595,279,892,1.4992,1,0,0,RUNNING,0,,-53;-46;-38;-28;-25;-24;-19;-14;126;202;144;51;-45;-77
9601,17,9600,1.0,616,301,904,1.4675,1,0,0,RUNNING,0,,-55;-45;-40;-35;-28;-21;-17;-14;83;223;167;76;-22;-78
9726,18,9725,1.0,457,246,778,1.7024,1,0,0,RUNNING,0,,-50;-40;-32;-25;-23;-22;-21;-13;96;181;126;30;-54;-65
9757,19,9756,1.0,848,198,648,0.7642,1,0,0,RUNNING,0,,-51;-44;-36;-30;-23;-23;-21;-13;11;143;123;48;-27;-55
9913,20,9912,1.0,696,383,1179,1.6940,1,0,0,RUNNING,0,,-50;-46;-34;-28;-24;-23;-19;9;260;265;179;66;-58;-118
10973,21,10972,1.0,825,262,986,1.1952,1,0,0,RUNNING,0,,-60;-55;-49;-44;-32;-32;-25;-21;28;202;200;149;78;11
11004,22,11003,1.0,735,192,696,0.9469,1,0,0,RUNNING,0,,-55;-50;-48;-33;-38;-32;-24;-23;-13;105;137;88;26;-24
11129,23,11128,1.0,576,309,959,1.6649,1,0,0,RUNNING,0,,-55;-44;-37;-34;-25;-23;-18;-16;125;229;175;84;-14;-80
11160,24,11159,1.0,755,307,938,1.2424,1,0,0,RUNNING,0,,-56;-50;-43;-34;-28;-23;-23;-16;76;226;182;91;-9;-81
11285,25,11284,1.0,427,312,995,2.3302,1,0,0,RUNNING,0,,-49;-42;-36;-27;-26;-22;-17;-7;220;220;139;24;-74;-92
11316,26,11315,1.0,834,389,1215,1.4568,1,0,0,RUNNING,0,,-55;-45;-38;-30;-24;-23;-21;-11;237;276;214;100;-28;-113
11472,27,11471,1.0,526,278,912,1.7338,1,0,0,RUNNING,0,,-54;-43;-36;-32;-26;-22;-20;-7;197;200;118;6;-73;-78
11503,28,11502,1.0,791,182,571,0.7219,1,0,0,RUNNING,0,,-52;-39;-37;-32;-23;-23;-18;-14;1;130;100;20;-34;-48
12563,29,12562,1.0,547,186,686,1.2541,1,0,0,RUNNING,0,,-48;-42;-38;-40;-23;-25;-23;-19;-16;-12;73;138;118;71
12688,30,12687,1.0,510,157,550,1.0784,1,0,0,RUNNING,0,,-53;-48;-41;-34;-26;-23;-20;-18;-13;76;104;48;-10;-36
12719,31,12718,1.0,820,305,921,1.1232,1,0,0,RUNNING,0,,-52;-42;-38;-32;-28;-23;-19;-16;68;227;191;103;-4;-78
12875,32,12874,1.0,764,394,1241,1.6243,1,0,0,RUNNING,0,,-54;-46;-40;-34;-29;-25;-22;-6;246;275;212;96;-37;-119
13031,33,13030,1.0,587,198,631,1.0750,1,0,0,RUNNING,0,,-50;-42;-34;-29;-25;-20;-20;-17;16;142;110;36;-34;-56
13062,34,13061,1.0,696,219,698,1.0029,1,0,0,RUNNING,0,,-50;-42;-38;-29;-26;-23;-19;-12;31;163;127;41;-41;-56
14247,35,14246,1.0,423,221,809,1.9125,1,0,0,RUNNING,0,,-72;-57;-48;-50;-36;-34;-28;-24;18;149;140;96;41;-16
14278,36,14277,1.0,969,193,681,0.7028,1,0,0,RUNNING,0,,-66;-56;-54;-45;-38;-31;-28;-23;-20;31;127;106;54;-2
14309,37,14308,1.0,520,222,818,1.5731,1,0,0,RUNNING,0,,-66;-59;-54;-42;-38;-29;-23;-23;-20;-10;131;156;119;48
14434,38,14433,1.0,745,336,1115,1.4966,1,0,0,RUNNING,0,,-59;-55;-44;-36;-34;-29;-23;-13;217;238;170;76;-23;-98
14465,39,14464,1.0,654,322,1098,1.6789,1,0,0,RUNNING,0,,-61;-54;-49;-38;-33;-25;-23;-21;171;238;192;108;-1;-84
14590,40,14589,1.0,404,415,1390,3.4406,1,0,0,RUNNING,0,,-56;-50;-44;-36;-30;-24;-23;176;291;251;169;60;-56;-124
14777,42,14776,1.0,783,340,1116,1.4253,1,0,0,RUNNING,0,,-55;-50;-37;-33;-28;-24;-19;48;238;223;153;71;-35;-102
15806,43,15805,1.0,416,330,1584,3.8077,1,0,0,RUNNING,0,,-108;-88;-78;-68;-56;-49;71;172;218;222;196;147;88;23
15837,44,15836,1.0,953,330,1382,1.4502,1,0,0,RUNNING,0,,-119;-103;-89;-81;-62;-55;4;168;211;196;147;88;21;-38
15962,45,15961,1.0,406,385,1585,3.9039,1,0,0,RUNNING,0,,-100;-84;-72;-61;-53;-46;0;236;283;252;183;96;-17;-102
15993,46,15992,1.0,696,408,1615,2.3204,1,0,0,RUNNING,0,,-88;-77;-64;-55;-46;-42;61;247;279;246;169;73;-39;-129
16024,47,16023,1.0,889,439,1732,1.9483,1,0,0,RUNNING,0,,-82;-72;-57;-54;-41;-36;73;267;311;276;215;112;-8;-128
16149,48,16148,1.0,650,500,1843,2.8354,1,0,0,RUNNING,0,,-66;-56;-52;-40;-36;-27;98;320;340;297;210;87;-54;-160
16180,49,16179,1.0,901,460,1628,1.8069,1,0,0,RUNNING,0,,-70;-60;-49;-39;-36;-26;-22;249;326;287;206;92;-32;-134
16305,50,16304,1.0,526,502,1804,3.4297,1,0,0,RUNNING,0,,-66;-56;-51;-42;-36;-23;222;328;310;242;137;8;-109;-174
16336,51,16335,1.0,969,486,1730,1.7853,1,0,0,RUNNING,0,,-64;-56;-48;-39;-32;-28;104;307;324;264;169;58;-75;-162
17521,52,17520,1.0,533,309,1397,2.6210,1,0,0,RUNNING,0,,-131;-112;-92;-85;-62;58;126;169;178;152;110;47;-13;-62
17552,53,17551,1.0,998,285,1286,1.2886,1,0,0,RUNNING,0,,-133;-114;-96;-87;-68;-9;89;135;152;137;112;90;41;-23
